rec,address,code2,code,count,lat,lng
1,四川省绵阳市游仙区梓棉乡极乐斋村委会二组,510704206205,510704206205,812,31.420317515,105.041837308
1,四川省绵阳市游仙区梓棉乡鹤鸣村民委员会,510704206206,510704206206,723,31.393739961,105.048728334
1,四川省绵阳市游仙区梓棉乡合兴村民委员会,510704206207,510704206207,821,31.400637563,105.032708329
1,四川省绵阳市游仙区梓棉乡严家桥村一组,510704206208,510704206208,928,31.400637563,105.032708329
1,四川省绵阳市游仙区梓棉乡红庙村五组,510704206209,510704206209,699,31.403592384,104.998289088
1,四川省江油市枫顺乡清花村民委员会,510781219202,510781219202,732,32.244153704,105.060936794
1,四川省江油市枫顺乡枫橡村民委员会,510781219203,510781219203,951,32.244153704,105.060936794
1,四川省江油市枫顺乡夏村村民委员会,510781219204,510781219204,644,32.244153704,105.060936794
1,四川省江油市枫顺乡小院村民委员会,510781219205,510781219205,388,32.244153704,105.060936794
1,四川省绵阳市游仙区梓棉乡盐井坝村委会,510704206217,510704206217,1538,31.400637563,105.032708329
1,四川省绵阳市涪城区城北街道建国门社区居民委员会,510703002001,510703002001,7106,31.470619176,104.756034557
1,四川省绵阳市涪城区城北街道铁牛街社区居民委员会,510703002002,510703002002,7361,31.469684054,104.758681294
1,四川省绵阳市涪城区城北街道办事处安昌路社区居委会安昌路52号,510703002003,510703002003,6198,31.466971293,104.751180024
1,四川省绵阳市涪城区城北街道办事处会仙路社区居委会流动人,510703002004,510703002004,4666,31.469044881,104.758232621
1,四川省绵阳市涪城区城北街道临园路中段社区居民委员会,510703002005,510703002005,6271,31.469360189,104.744088351
1,四川省绵阳市涪城区城北街道办事处安昌路西段社区居委会长虹大道中段131号（得月新城）,510703002006,510703002006,6164,31.467003633,104.745049987
1,四川省绵阳市涪城区城北街道绵州中路社区居民委员会,510703002007,510703002007,10736,31.468448065,104.745151226
1,四川省绵阳市涪城区城北街道剑南路第三社区居民委员会,510703002008,510703002008,10168,31.474023536,104.755257343
1,四川省绵阳市涪城区城北街道剑南路第二社区居民委员会,510703002009,510703002009,6277,31.474023536,104.755257343
1,四川省绵阳市涪城区城北街道办事处剑南路第一社区居委会流动,510703002010,510703002010,8075,31.469044881,104.758232621
1,四川省绵阳市涪城区城北街道成绵路社区居民委员会,510703002011,510703002011,7212,31.472154710,104.752059872
1,四川省绵阳市涪城区城北街道临园路东段社区居民委员会,510703002012,510703002012,4985,31.469332620,104.755867605
1,四川省绵阳市涪城区城北街道绵兴路社区居民委员会,510703002013,510703002013,6687,31.468628720,104.737333687
1,四川省绵阳市科学城科学城办事处七所一组,510772703007,510772703007,297,31.486848763,104.765551972
1,四川省绵阳市江油市中坝镇太白社区居委会滨江华城B区11-3-4-1室,510781100003,510781100003,5032,31.792580497,104.756674177
1,四川省绵阳市江油市三合镇长钢钢管公司,510781700810,510781700810,110,31.952426669,104.933149300
